careunit,n_rows,n_admissions,median_hours,pct_under_4h,level_v1,tier_v1,ics_level_primary,ics_level_name,ics_level_alt,ladder_rung,in_ladder,exclude_admission,is_procedural,mapping_basis,ics_clause,contestable,note
Medical Intensive Care Unit (MICU),26380,22054,38.07,12.1,4,Critical care,3.0,Level 3 - Critical Care,,2.0,Y,N,N,unit capability ceiling: ventilator-capable ICU,"""Patients needing advanced respiratory monitoring and support alone"" / ""support for two or more organ systems at an advanced level"" (ICS 2021, Level 3)",N,
Cardiac Vascular Intensive Care Unit (CVICU),20920,15808,33.18,10.35,4,Critical care,3.0,Level 3 - Critical Care,,2.0,Y,N,N,unit capability ceiling: ventilator-capable ICU,"""Patients needing advanced respiratory monitoring and support alone"" / ""support for two or more organ systems at an advanced level"" (ICS 2021, Level 3)",N,
Medical/Surgical Intensive Care Unit (MICU/SICU),20427,16280,30.84,19.03,4,Critical care,3.0,Level 3 - Critical Care,,2.0,Y,N,N,unit capability ceiling: ventilator-capable ICU,"""Patients needing advanced respiratory monitoring and support alone"" / ""support for two or more organ systems at an advanced level"" (ICS 2021, Level 3)",N,
Surgical Intensive Care Unit (SICU),17311,14481,41.29,10.49,4,Critical care,3.0,Level 3 - Critical Care,,2.0,Y,N,N,unit capability ceiling: ventilator-capable ICU,"""Patients needing advanced respiratory monitoring and support alone"" / ""support for two or more organ systems at an advanced level"" (ICS 2021, Level 3)",N,
Trauma SICU (TSICU),14972,11741,34.71,14.12,4,Critical care,3.0,Level 3 - Critical Care,,2.0,Y,N,N,unit capability ceiling: ventilator-capable ICU,"""Patients needing advanced respiratory monitoring and support alone"" / ""support for two or more organ systems at an advanced level"" (ICS 2021, Level 3)",N,
Coronary Care Unit (CCU),13923,12116,40.26,11.48,4,Critical care,3.0,Level 3 - Critical Care,2.0,2.0,Y,N,N,unit capability ceiling: ventilator-capable,"""Patients needing advanced respiratory monitoring and support alone"" / ""support for two or more organ systems at an advanced level"" (ICS 2021, Level 3)",Y,Many CCU patients need single-organ cardiac monitoring only (ICS Level 2). Mapped to 3 on capability ceiling. Does NOT change ladder order.
Neuro Surgical Intensive Care Unit (Neuro SICU),4027,3480,48.18,9.09,4,Critical care,3.0,Level 3 - Critical Care,,2.0,Y,N,N,unit capability ceiling: ventilator-capable ICU,"""Patients needing advanced respiratory monitoring and support alone"" / ""support for two or more organ systems at an advanced level"" (ICS 2021, Level 3)",N,
Intensive Care Unit (ICU),117,67,34.84,27.35,4,Critical care,3.0,Level 3 - Critical Care,,2.0,Y,N,N,unit capability ceiling: ventilator-capable ICU,"""Patients needing advanced respiratory monitoring and support alone"" / ""support for two or more organ systems at an advanced level"" (ICS 2021, Level 3)",N,
Hematology/Oncology Intermediate,24376,13787,54.45,17.78,3,Intermediate/HDU,1.0,Level 1 - Enhanced Care,2.0,1.0,Y,N,N,"US intermediate/step-down: closer observation, basic single-organ support","""more detailed observations or interventions, including basic support for a single organ system and those stepping down from higher levels of care"" (ICS 2021, Level 1 Enhanced Care)",Y,US step-down straddles ICS Level 1 (Enhanced) and Level 2. Primary=1 per the ICS Level 1 clause on single-organ basic support and step-down. Choosing 2 instead does NOT change ladder order (see rationale doc).
Medicine/Cardiology Intermediate,15535,10850,46.39,18.38,3,Intermediate/HDU,1.0,Level 1 - Enhanced Care,2.0,1.0,Y,N,N,"US intermediate/step-down: closer observation, basic single-organ support","""more detailed observations or interventions, including basic support for a single organ system and those stepping down from higher levels of care"" (ICS 2021, Level 1 Enhanced Care)",Y,US step-down straddles ICS Level 1 (Enhanced) and Level 2. Primary=1 per the ICS Level 1 clause on single-organ basic support and step-down. Choosing 2 instead does NOT change ladder order (see rationale doc).
